,Difference in Totals (),Heidke Skill Score at 0.1 ,False Alarm Ratio at 0.1 ,Probability of Detection at 0.1 ,Heidke Skill Score at 1.0 ,False Alarm Ratio at 1.0 ,Probability of Detection at 1.0 ,Heidke Skill Score at 10.0 ,False Alarm Ratio at 10.0 ,Probability of Detection at 10.0 ,Expected Observations,Total NaNs,NaNs in Model,%_NaNs_Total,%_NaNs_Model
UMGLOBAL10,206.9,0.16,0.87,0.37,0.15,0.89,0.28,0.0,nan,0.0,8785,39,39,0.44,0.44
CMORPH,28.3,0.16,0.84,0.22,0.14,0.87,0.18,0.0,nan,0.0,8785,346,346,3.94,3.94
ICON,136.7,0.17,0.85,0.37,0.14,0.89,0.22,0.0,nan,0.0,8785,1,1,0.01,0.01
IFS025,192.2,0.18,0.85,0.37,0.21,0.84,0.33,0.0,nan,0.0,8785,1213,1213,13.81,13.81
NEMSGLOBAL,-0.9,0.19,0.84,0.35,0.24,0.79,0.28,0.0,nan,0.0,8785,1,1,0.01,0.01
MFEU,130.7,0.2,0.83,0.38,0.21,0.84,0.35,0.0,nan,0.0,8785,25,25,0.28,0.28
PDIRNOW,196.41,0.02,0.96,0.23,-0.0,1.0,0.0,0.0,nan,0.0,8785,453,453,5.16,5.16
COSMOM5,12.3,0.13,0.87,0.2,0.12,0.89,0.17,-0.0,1.0,0.0,8785,1153,1153,13.12,13.12
NMM22,-197.1,0.14,0.82,0.14,-0.0,1.0,0.0,0.0,nan,0.0,8785,1,1,0.01,0.01
IFS04,-8.3,0.05,0.82,0.04,0.0,nan,0.0,0.0,nan,0.0,8785,7440,7440,84.69,84.69
ICONEU,98.6,0.17,0.85,0.34,0.18,0.86,0.27,0.0,nan,0.0,8785,15,15,0.17,0.17
GFS05,106.0,0.19,0.85,0.45,0.17,0.86,0.23,0.0,nan,0.0,8785,1,1,0.01,0.01
MFGLOBAL,61.1,-0.02,1.0,0.0,-0.0,1.0,0.0,0.0,nan,0.0,8785,7693,7693,87.57,87.57
NEMS12,8.4,0.16,0.86,0.3,0.21,0.82,0.27,0.0,nan,0.0,8785,1,1,0.01,0.01
IMERG-REALTIME,159.76,0.04,0.94,0.24,0.03,0.96,0.03,0.0,nan,0.0,8785,48,48,0.55,0.55
AIFS025,143.27,0.2,0.85,0.51,0.23,0.8,0.28,0.0,nan,0.0,8785,1813,1813,20.64,20.64
CHIRPS2,146.0,0.07,0.93,0.35,-0.0,1.0,0.0,0.0,nan,0.0,8785,1,1,0.01,0.01
GEM15,264.7,0.16,0.87,0.4,0.18,0.87,0.33,0.0,nan,0.0,8785,15,15,0.17,0.17
IMERG,8.6,0.04,0.9,0.04,0.0,nan,0.0,0.0,nan,0.0,8785,7368,7368,83.87,83.87
ERA5T,177.1,0.19,0.85,0.44,0.28,0.79,0.47,0.0,nan,0.0,8785,1,1,0.01,0.01
NEMS4,78.7,0.15,0.86,0.27,0.21,0.83,0.28,-0.0,1.0,0.0,8785,1,1,0.01,0.01
